City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.1203,-134.9692,23.99,76,11,7.0,PF,1670360112
1,albany,42.6001,-73.9662,11.33,90,100,2.8,US,1670360054
2,kodiak,57.79,-152.4072,2.76,82,92,5.18,US,1670360118
3,nyuksenitsa,60.4128,44.2397,-7.28,72,100,4.66,RU,1670360188
4,mar del plata,-38.0023,-57.5575,24.35,76,40,6.69,AR,1670359937
5,castro,-24.7911,-50.0119,21.49,92,32,1.92,BR,1670360161
6,saskylakh,71.9167,114.0833,-21.54,98,100,3.81,RU,1670360110
7,mozarlandia,-14.7447,-50.5706,26.14,80,87,2.85,BR,1670360189
8,ilulissat,69.2167,-51.1,-1.36,97,100,2.0,GL,1670360119
9,atuona,-9.8,-139.0333,25.25,77,82,7.15,PF,1670359902
10,ushuaia,-54.8,-68.3,6.81,61,75,13.38,AR,1670359965
11,russell,32.3502,-85.1999,25.56,68,95,2.5,US,1670360189
12,port elizabeth,-33.918,25.5701,19.5,91,0,3.09,ZA,1670360189
13,hithadhoo,-0.6,73.0833,27.5,75,55,5.16,MV,1670360190
14,masvingo,-20.0637,30.8277,22.22,59,96,1.0,ZW,1670360190
15,tyrma,50.0833,132.1667,-23.7,100,88,1.11,RU,1670360190
16,lebu,-37.6167,-73.65,18.51,68,5,3.42,CL,1670360161
17,hami,42.8,93.45,-5.76,41,66,1.37,CN,1670360140
18,clovis,36.8252,-119.7029,14.91,68,100,0.45,US,1670360048
19,hilo,19.7297,-155.09,24.58,71,90,5.1,US,1670360148
20,leningradskiy,69.3833,178.4167,-19.84,92,20,3.22,RU,1670360144
21,adrar,20.5022,-10.0711,26.35,28,0,3.12,MR,1670360161
22,barranquilla,10.9639,-74.7964,29.88,58,0,4.63,CO,1670360191
23,inhambane,-23.865,35.3833,25.47,87,3,4.45,MZ,1670360191
24,makakilo city,21.3469,-158.0858,26.91,72,99,4.47,US,1670360192
25,nikolskoye,59.7035,30.7861,-6.06,92,100,3.99,RU,1670360138
